dataset_size,num_epochs,batch_size,learning_rate,accuracy,precision,recall,f1,tp,fp,tn,fn
10000,200,64,0.01,0.9631,0.9273697168649979,0.9216965742251223,0.924524442626304,2260,177,7371,192
100000,200,32,0.01,0.966,0.9440706476030277,0.9155791190864601,0.9296066252587992,2245,133,7415,207
