dataset_size,layer_dims,dataset_number,hyperparameters,accuracy,precision,recall,f1,tp,fp,tn,fn
1000,"[50, 50, 1]",2,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 100}",0.868,0.8516978516978517,0.5263383297644539,0.6506087877183695,1229,214,7451,1106
10,"[5, 1]",3,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 200}",0.7665,0.0,0.0,0.0,0,0,7665,2335
10,"[10, 1]",3,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 200}",0.7665,0.0,0.0,0.0,0,0,7665,2335
10,"[50, 1]",3,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 100}",0.7665,0.0,0.0,0.0,0,0,7665,2335
10,"[5, 5, 1]",3,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 100}",0.7665,0.0,0.0,0.0,0,0,7665,2335
10,"[10, 10, 1]",3,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 200}",0.7665,0.0,0.0,0.0,0,0,7665,2335
10,"[50, 50, 1]",3,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 100}",0.7665,0.0,0.0,0.0,0,0,7665,2335
100,"[5, 1]",3,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 100}",0.7759,0.97,0.041541755888650965,0.07967145790554414,97,3,7662,2238
100,"[10, 1]",3,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 100}",0.7725,0.96875,0.026552462526766595,0.05168820341809087,62,2,7663,2273
100,"[50, 1]",3,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 200}",0.786,0.9452054794520548,0.08865096359743041,0.1620986687548943,207,12,7653,2128
100,"[5, 5, 1]",3,"{'batch_size': 64, 'learning_rate': 0.1, 'num_epochs': 50}",0.7754,0.9320388349514563,0.041113490364025694,0.07875307629204265,96,7,7658,2239
100,"[10, 10, 1]",3,"{'batch_size': 64, 'learning_rate': 0.01, 'num_epochs': 200}",0.7762,0.944954128440367,0.04411134903640257,0.08428805237315876,103,6,7659,2232
100,"[50, 50, 1]",3,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 100}",0.77,0.972972972972973,0.015417558886509636,0.03035413153456998,36,1,7664,2299
1000,"[5, 1]",3,"{'batch_size': 64, 'learning_rate': 0.1, 'num_epochs': 200}",0.7826,0.5184421534936999,0.9691648822269807,0.6755223880597016,2263,2102,5563,72
