dataset_size,num_epochs,batch_size,learning_rate,accuracy,precision,recall,f1,tp,fp,tn,fn
10,20,32,0.1,0.7697,0.6666666666666666,0.0008680555555555555,0.0017338534893801473,2,1,7695,2302
100,20,32,0.1,0.8479,0.7076923076923077,0.5789930555555556,0.6369061828598712,1334,551,7145,970
1000,200,64,0.1,0.6939,0.4286253064303225,0.9865451388888888,0.5976074668068884,2273,3030,4666,31
10,100,32,0.001,0.2431,0.24066265060240963,0.9975031210986267,0.3877699587478767,2397,7563,34,6
100,200,32,0.1,0.3055,0.2550161812297735,0.9837702871410736,0.4050372654844513,2364,6906,691,39
1000,200,64,0.1,0.9049,0.7222902633190447,0.9816895547232626,0.832245545951667,2359,907,6690,44
10,20,32,0.1,0.7638,0.0,0.0,0.0,0,0,7638,2362
100,200,32,0.1,0.3437,0.26348384190969487,0.9906858594411516,0.41625900560348666,2340,6541,1097,22
1000,200,64,0.1,0.9401,0.9231877100336053,0.8141405588484335,0.8652418447694038,1923,160,7478,439
10,200,32,0.1,0.7653,0.5,0.002982530890498509,0.005929690808979247,7,7,7646,2340
100,200,32,0.1,0.2547,0.23885024549918166,0.9948870899020026,0.38521818031840305,2335,7441,212,12
1000,200,32,0.1,0.7736,0.5091470134450077,0.9842351938645079,0.6711214410226611,2310,2227,5426,37
10,0.7644,0.0,0.0,0.0,0,0,7644,2356
100,100,64,0.1,0.2576,0.23978229615937563,0.9910865874363328,0.38614188853977177,2335,7403,241,21
1000,100,32,0.1,0.9487,0.9229004130335016,0.8535653650254669,0.8868798235942669,2011,168,7476,345
10,100,32,0.1,0.7628,0.22580645161290322,0.0029723991507431,0.00586756077116513,7,24,7621,2348
100,50,32,0.1,0.327,0.25583212412099565,0.9732484076433121,0.4051617465087502,2292,6667,978,63
1000,100,64,0.1,0.8403,0.5985952133194589,0.9770700636942675,0.7423778028714308,2301,1543,6102,54
