dataset_size,num_epochs,batch_size,learning_rate,accuracy,precision,recall,f1
10,20,16,0.1,1.0,1.0,1.0,1.0
100,50,16,0.1,1.0,1.0,1.0,1.0
1000,100,32,0.1,0.972,0.9330708661417323,0.9556451612903226,0.9442231075697212
,,,,
