dataset_size,layer_dims,hyperparameters,accuracy,precision,recall,f1,tp,fp,tn,fn
10000,"[5, 1]","{'batch_size': 64, 'learning_rate': 0.1, 'num_epochs': 200}",0.972,0.9434613724643937,0.9361884368308351,0.939810834049871,2186,131,7534,149
10000,"[10, 1]","{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 100}",0.9813,0.9605488850771869,0.9593147751605996,0.9599314334690379,2240,92,7573,95
10000,"[50, 1]","{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 200}",0.9949,0.9943722943722944,0.9837259100642398,0.9890204520990312,2297,13,7652,38
10000,"[5, 5, 1]","{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 200}",0.9736,0.9476869865974924,0.9387580299785867,0.9432013769363167,2192,121,7544,143
10000,"[10, 10, 1]","{'batch_size': 64, 'learning_rate': 0.001, 'num_epochs': 200}",0.976,0.9366402667778241,0.9623126338329765,0.9493029150823827,2247,152,7513,88
10000,"[50, 50, 1]","{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 200}",0.9971,0.9995667244367418,0.9880085653104925,0.9937540383372819,2307,1,7664,28
