dataset_size,layer_dims,dataset_number,hyperparameters,accuracy,precision,recall,f1,tp,fp,tn,fn
1000,"[50, 50, 1]",0,"{'batch_size': 64, 'learning_rate': 0.1, 'num_epochs': 100}",0.682,0.4191881918819188,0.9861111111111112,0.5882962195753495,2272,3148,4548,32
10,"[5, 1]",1,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 100}",0.2478,0.24185577407967726,0.997919267582189,0.3893489202792661,2398,7517,80,5
10,"[10, 1]",1,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 100}",0.7623,0.6274509803921569,0.02663337494798169,0.05109780439121757,64,38,7559,2339
10,"[50, 1]",1,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 50}",0.2463,0.2413341394598952,0.9966708281315023,0.38857791839052486,2395,7529,68,8
10,"[5, 5, 1]",1,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 100}",0.7601,0.5909090909090909,0.005409904286308781,0.010721649484536081,13,9,7588,2390
10,"[10, 10, 1]",1,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 20}",0.2594,0.24304057524396508,0.9846025801081981,0.38985005767012687,2366,7369,228,37
10,"[50, 50, 1]",1,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 20}",0.7601,0.5204081632653061,0.02122347066167291,0.040783686525389835,51,47,7550,2352
100,"[5, 1]",1,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 200}",0.3311,0.2617830146731881,0.9800249687890137,0.4131941398368278,2355,6641,956,48
100,"[10, 1]",1,"{'batch_size': 32, 'learning_rate': 0.1, 'num_epochs': 200}",0.7977,0.6772388059701493,0.3021223470661673,0.41784172661870506,726,346,7251,1677
100,"[50, 1]",1,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 100}",0.6609,0.4093577981651376,0.9284228048272992,0.5681905004456895,2231,3219,4378,172
100,"[5, 5, 1]",1,"{'batch_size': 32, 'learning_rate': 0.1, 'num_epochs': 50}",0.3287,0.26113943693194414,0.9804411152725759,0.4124288840262582,2356,6666,931,47
100,"[10, 10, 1]",1,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 200}",0.8245,0.6082164328657315,0.7578027465667915,0.6748193440800444,1821,1173,6424,582
100,"[50, 50, 1]",1,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 200}",0.7861,0.7693877551020408,0.15688722430295465,0.2606291047355686,377,113,7484,2026
1000,"[5, 1]",1,"{'batch_size': 64, 'learning_rate': 0.01, 'num_epochs': 200}",0.9473,0.8505231689088192,0.9471493965875988,0.8962394172081118,2276,400,7197,127
1000,"[10, 1]",1,"{'batch_size': 64, 'learning_rate': 0.01, 'num_epochs': 100}",0.9182,0.9151388161341016,0.7270079067831877,0.8102968460111317,1747,162,7435,656
1000,"[50, 1]",1,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 200}",0.8998,0.7127239599149712,0.976695796920516,0.8240870786516853,2347,946,6651,56
1000,"[5, 5, 1]",1,"{'batch_size': 64, 'learning_rate': 0.01, 'num_epochs': 100}",0.9433,0.8382461311717023,0.9467332501040366,0.8891928864569084,2275,439,7158,128
1000,"[10, 10, 1]",1,"{'batch_size': 64, 'learning_rate': 0.01, 'num_epochs': 200}",0.9186,0.7605772384388324,0.9650436953807741,0.8506969919295672,2319,730,6867,84
1000,"[50, 50, 1]",1,"{'batch_size': 32, 'learning_rate': 0.1, 'num_epochs': 20}",0.9291,0.8048956083513319,0.9305035372451103,0.8631538313066976,2236,542,7055,167
10,"[5, 1]",2,"{'batch_size': 32, 'learning_rate': 0.1, 'num_epochs': 50}",0.7639,1.0,0.0004233700254022015,0.0008463817181548879,1,0,7638,2361
10,"[10, 1]",2,"{'batch_size': 32, 'learning_rate': 0.1, 'num_epochs': 50}",0.7639,1.0,0.0004233700254022015,0.0008463817181548879,1,0,7638,2361
10,"[50, 1]",2,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 50}",0.7638,0.0,0.0,0.0,0,0,7638,2362
10,"[5, 5, 1]",2,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 20}",0.7634,0.16666666666666666,0.0004233700254022015,0.0008445945945945944,1,5,7633,2361
10,"[10, 10, 1]",2,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 50}",0.764,1.0,0.000846740050804403,0.0016920473773265653,2,0,7638,2360
10,"[50, 50, 1]",2,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 200}",0.7638,0.0,0.0,0.0,0,0,7638,2362
100,"[5, 1]",2,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 200}",0.3891,0.2772029967891545,0.9868755292125317,0.43282889239624917,2331,6078,1560,31
100,"[10, 1]",2,"{'batch_size': 64, 'learning_rate': 0.1, 'num_epochs': 100}",0.8258,0.6020408163265306,0.7743437764606266,0.6774074074074075,1829,1209,6429,533
100,"[50, 1]",2,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 50}",0.3785,0.2745465184318315,0.9932260795935648,0.43018245163656366,2346,6199,1439,16
100,"[5, 5, 1]",2,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 200}",0.8709,0.7546362339514978,0.6718882303132938,0.7108622620380738,1587,516,7122,775
100,"[10, 10, 1]",2,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 200}",0.3659,0.2693333333333333,0.9834885690093141,0.42286338399927187,2323,6302,1336,39
100,"[50, 50, 1]",2,"{'batch_size': 64, 'learning_rate': 0.1, 'num_epochs': 200}",0.6153,0.3758153537380833,0.9513124470787468,0.5387843184270471,2247,3732,3906,115
1000,"[5, 1]",2,"{'batch_size': 32, 'learning_rate': 0.1, 'num_epochs': 200}",0.9445,0.911617312072893,0.8471634208298052,0.8782093482554312,2001,194,7444,361
1000,"[10, 1]",2,"{'batch_size': 64, 'learning_rate': 0.01, 'num_epochs': 100}",0.8777,0.9363984674329502,0.5173581710414903,0.6664848650122717,1222,83,7555,1140
1000,"[50, 1]",2,"{'batch_size': 64, 'learning_rate': 0.001, 'num_epochs': 200}",0.9398,0.8754266211604096,0.8687552921253175,0.8720781980450488,2052,292,7346,310
1000,"[5, 5, 1]",2,"{'batch_size': 64, 'learning_rate': 0.01, 'num_epochs': 100}",0.9458,0.9110207768744354,0.8539373412362404,0.881555944055944,2017,197,7441,345
1000,"[10, 10, 1]",2,"{'batch_size': 64, 'learning_rate': 0.001, 'num_epochs': 200}",0.9472,0.8962834917891098,0.8780694326841659,0.8870829769033363,2074,240,7398,288
1000,"[50, 50, 1]",2,"{'batch_size': 64, 'learning_rate': 0.1, 'num_epochs': 50}",0.9484,0.8878151260504201,0.8945808636748518,0.8911851539434837,2113,267,7371,249
10,"[5, 1]",3,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 50}",0.7653,0.5,0.0008521516829995739,0.0017014036580178646,2,2,7651,2345
10,"[10, 1]",3,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 50}",0.7655,0.6666666666666666,0.0017043033659991478,0.003399915002124947,4,2,7651,2343
10,"[50, 1]",3,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 100}",0.7657,0.6,0.0051129100979974435,0.010139416983523449,12,8,7645,2335
10,"[5, 5, 1]",3,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 50}",0.7654,0.6666666666666666,0.0008521516829995739,0.001702127659574468,2,1,7652,2345
10,"[10, 10, 1]",3,"{'batch_size': 32, 'learning_rate': 0.1, 'num_epochs': 20}",0.2471,0.23716778251166565,0.9961653174265019,0.38312167144612863,2338,7520,133,9
10,"[50, 50, 1]",3,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 20}",0.7654,0.5555555555555556,0.0021303792074989347,0.004244482173174873,5,4,7649,2342
100,"[5, 1]",3,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 200}",0.3006,0.2479114679396767,0.9735832978270132,0.3951919750951228,2285,6932,721,62
100,"[10, 1]",3,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 100}",0.2628,0.2410594661444914,0.9965913932680017,0.38821576763485477,2339,7364,289,8
100,"[50, 1]",3,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 100}",0.2831,0.24486772486772487,0.985939497230507,0.39230312791387645,2314,7136,517,33
100,"[5, 5, 1]",3,"{'batch_size': 64, 'learning_rate': 0.1, 'num_epochs': 100}",0.2519,0.2383815735833673,0.9965913932680017,0.38473558680812564,2339,7473,180,8
100,"[10, 10, 1]",3,"{'batch_size': 64, 'learning_rate': 0.01, 'num_epochs': 100}",0.2613,0.2400990099009901,0.9919045590115041,0.38661463090592046,2328,7368,285,19
100,"[50, 50, 1]",3,"{'batch_size': 32, 'learning_rate': 0.1, 'num_epochs': 200}",0.2563,0.23940200696293262,0.9961653174265019,0.38603153636588794,2338,7428,225,9
1000,"[5, 1]",3,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 100}",0.831,0.5833121988333756,0.97997443544951,0.7313195548489667,2300,1643,6010,47
1000,"[10, 1]",3,"{'batch_size': 64, 'learning_rate': 0.01, 'num_epochs': 100}",0.7664,0.5011886751674951,0.9880698764380059,0.6650415830226555,2319,2308,5345,28
1000,"[50, 1]",3,"{'batch_size': 32, 'learning_rate': 0.1, 'num_epochs': 200}",0.7966,0.5362688296639629,0.985939497230507,0.6946862803962774,2314,2001,5652,33
1000,"[5, 5, 1]",3,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 100}",0.7003,0.43877166541070084,0.9923306348530039,0.6084911822338341,2329,2979,4674,18
1000,"[10, 10, 1]",3,"{'batch_size': 64, 'learning_rate': 0.001, 'num_epochs': 200}",0.7105,0.4469197985277024,0.9829569663400085,0.6144626448262086,2307,2855,4798,40
1000,"[50, 50, 1]",3,"{'batch_size': 32, 'learning_rate': 0.1, 'num_epochs': 50}",0.7001,0.4382107657316149,0.9850873455475074,0.6065853338580611,2312,2964,4689,35
10,"[5, 1]",4,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 20}",0.7644,0.0,0.0,0.0,0,0,7644,2356
10,"[10, 1]",4,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 20}",0.7644,0.0,0.0,0.0,0,0,7644,2356
10,"[50, 1]",4,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 20}",0.7644,0.0,0.0,0.0,0,0,7644,2356
10,"[5, 5, 1]",4,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 20}",0.7641,0.3333333333333333,0.0012733446519524619,0.0025369978858350954,3,6,7638,2353
10,"[10, 10, 1]",4,"{'batch_size': 32, 'learning_rate': 0.1, 'num_epochs': 50}",0.2475,0.2373742505842902,0.9915110356536503,0.3830450110682955,2336,7505,139,20
10,"[50, 50, 1]",4,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 20}",0.7644,0.0,0.0,0.0,0,0,7644,2356
100,"[5, 1]",4,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 100}",0.2706,0.24265165728580362,0.9881154499151104,0.38962343096234303,2328,7266,378,28
100,"[10, 1]",4,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 100}",0.2851,0.2455674700074318,0.9817487266553481,0.3928662420382166,2313,7106,538,43
100,"[50, 1]",4,"{'batch_size': 64, 'learning_rate': 0.01, 'num_epochs': 100}",0.2679,0.24213150514178872,0.9893887945670629,0.38905115580405575,2331,7296,348,25
100,"[5, 5, 1]",4,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 200}",0.2994,0.24892008639308855,0.9783531409168081,0.39686639118457295,2305,6955,689,51
100,"[10, 10, 1]",4,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 200}",0.7618,0.4748062015503876,0.10398981324278438,0.17061281337047354,245,271,7373,2111
100,"[50, 50, 1]",4,"{'batch_size': 32, 'learning_rate': 0.1, 'num_epochs': 50}",0.2935,0.2473441356368709,0.9783531409168081,0.39486081370449677,2305,7014,630,51
1000,"[5, 1]",4,"{'batch_size': 32, 'learning_rate': 0.1, 'num_epochs': 100}",0.9488,0.8658730158730159,0.9261460101867572,0.8949958982772764,2182,338,7306,174
1000,"[10, 1]",4,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 50}",0.9174,0.9240576496674058,0.7075551782682513,0.8014423076923077,1667,137,7507,689
1000,"[50, 1]",4,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 50}",0.9075,0.9502831969792322,0.6409168081494058,0.7655259822560203,1510,79,7565,846
1000,"[5, 5, 1]",4,"{'batch_size': 64, 'learning_rate': 0.01, 'num_epochs': 200}",0.891,0.9476661951909476,0.568760611205433,0.7108753315649867,1340,74,7570,1016
1000,"[10, 10, 1]",4,"{'batch_size': 64, 'learning_rate': 0.01, 'num_epochs': 100}",0.9514,0.8847736625514403,0.9125636672325976,0.8984538236523192,2150,280,7364,206
1000,"[50, 50, 1]",4,"{'batch_size': 32, 'learning_rate': 0.1, 'num_epochs': 200}",0.8996,0.7260869565217392,0.9214770797962648,0.8121960344182567,2171,819,6825,185
10,"[5, 1]",5,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 200}",0.7635,0.0,0.0,0.0,0,10,7635,2355
10,"[10, 1]",5,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 200}",0.7639,0.125,0.0004246284501061571,0.0008463817181548879,1,7,7638,2354
10,"[50, 1]",5,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 100}",0.7639,0.25,0.0012738853503184713,0.0025348542458808617,3,9,7636,2352
10,"[5, 5, 1]",5,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 20}",0.7638,0.1111111111111111,0.0004246284501061571,0.0008460236886632825,1,8,7637,2354
10,"[10, 10, 1]",5,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 200}",0.7639,0.125,0.0004246284501061571,0.0008463817181548879,1,7,7638,2354
10,"[50, 50, 1]",5,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 20}",0.7639,0.2857142857142857,0.0016985138004246285,0.003376952300548755,4,10,7635,2351
100,"[5, 1]",5,"{'batch_size': 32, 'learning_rate': 0.1, 'num_epochs': 20}",0.8122,0.6246732880292734,0.5074309978768577,0.5599812558575444,1195,718,6927,1160
100,"[10, 1]",5,"{'batch_size': 32, 'learning_rate': 0.1, 'num_epochs': 100}",0.7743,0.69140625,0.0751592356687898,0.13558023745691306,177,79,7566,2178
100,"[50, 1]",5,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 50}",0.6455,0.38849325337331336,0.8802547770700637,0.5390716421791705,2073,3263,4382,282
100,"[5, 5, 1]",5,"{'batch_size': 32, 'learning_rate': 0.1, 'num_epochs': 100}",0.3122,0.25172905917224725,0.9736730360934183,0.40003489183531055,2293,6816,829,62
100,"[10, 10, 1]",5,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 50}",0.5507,0.3331772784019975,0.9065817409766455,0.4872760470158622,2135,4273,3372,220
100,"[50, 50, 1]",5,"{'batch_size': 64, 'learning_rate': 0.1, 'num_epochs': 20}",0.8034,0.5708045140152894,0.6658174097664543,0.6146609172873383,1568,1179,6466,787
1000,"[5, 1]",5,"{'batch_size': 64, 'learning_rate': 0.01, 'num_epochs': 50}",0.7901,0.5293040293040293,0.9817409766454352,0.6877881897962218,2312,2056,5589,43
1000,"[10, 1]",5,"{'batch_size': 64, 'learning_rate': 0.01, 'num_epochs': 50}",0.8416,0.5997929070670464,0.983864118895966,0.7452557092312642,2317,1546,6099,38
1000,"[50, 1]",5,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 200}",0.7282,0.46393800913967814,0.9915074309978769,0.6321061180292367,2335,2698,4947,20
1000,"[5, 5, 1]",5,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 100}",0.7926,0.5322914272581016,0.9834394904458599,0.690724724127647,2316,2035,5610,39
1000,"[10, 10, 1]",5,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 200}",0.704,0.4424138587473824,0.9868365180467091,0.6109358569926393,2324,2929,4716,31
1000,"[50, 50, 1]",5,"{'batch_size': 32, 'learning_rate': 0.1, 'num_epochs': 200}",0.8358,0.5911997953440777,0.9813163481953291,0.7378671775223499,2311,1598,6047,44
