dataset_size,layer_dims,dataset_number,hyperparameters,accuracy,precision,recall,f1,tp,fp,tn,fn
10,"[5, 1]",0,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 200}",0.7696,0.5,0.00043402777777777775,0.0008673026886383347,1,1,7695,2303
10,"[10, 1]",0,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 20}",0.7697,1.0,0.00043402777777777775,0.0008676789587852495,1,0,7696,2303
10,"[50, 1]",0,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 100}",0.7695,0.0,0.0,0.0,0,1,7695,2304
10,"[5, 5, 1]",0,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 20}",0.7692,0.35714285714285715,0.002170138888888889,0.004314063848144953,5,9,7687,2299
10,"[10, 10, 1]",0,"{'batch_size': 32, 'learning_rate': 0.1, 'num_epochs': 100}",0.7695,0.0,0.0,0.0,0,1,7695,2304
10,"[50, 50, 1]",0,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 20}",0.7696,0.0,0.0,0.0,0,0,7696,2304
100,"[5, 1]",0,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 200}",0.7747,0.7684210526315789,0.031684027777777776,0.06085869112130054,73,22,7674,2231
100,"[10, 1]",0,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 200}",0.7706,0.6470588235294118,0.009548611111111112,0.018819503849443968,22,12,7684,2282
100,"[50, 1]",0,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 50}",0.7743,0.7764705882352941,0.028645833333333332,0.05525324403516115,66,19,7677,2238
100,"[5, 5, 1]",0,"{'batch_size': 32, 'learning_rate': 0.1, 'num_epochs': 20}",0.3124,0.24701195219123506,0.96875,0.39365079365079364,2232,6804,892,72
100,"[10, 10, 1]",0,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 200}",0.2839,0.2406833956219968,0.9782986111111112,0.3863227354529095,2254,7111,585,50
100,"[50, 50, 1]",0,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 200}",0.7723,0.7755102040816326,0.016493055555555556,0.032299192520186995,38,11,7685,2266
1000,"[5, 1]",0,"{'batch_size': 32, 'learning_rate': 0.01, 'num_epochs': 50}",0.7026,0.4356511717249328,0.984375,0.603994673768309,2268,2938,4758,36
1000,"[10, 1]",0,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 200}",0.7189,0.4497323022010708,0.984375,0.6173948550428746,2268,2775,4921,36
1000,"[50, 1]",0,"{'batch_size': 64, 'learning_rate': 0.1, 'num_epochs': 50}",0.7743,0.5052749719416386,0.9769965277777778,0.6660748631454357,2251,2204,5492,53
1000,"[5, 5, 1]",0,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 200}",0.7096,0.4415660303856642,0.9839409722222222,0.6095724657165905,2267,2867,4829,37
1000,"[10, 10, 1]",0,"{'batch_size': 32, 'learning_rate': 0.001, 'num_epochs': 200}",0.825,0.5712815234173958,0.9635416666666666,0.7172859450726979,2220,1666,6030,84
